date,symbol,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2003-09-30,IBM,,,,,,,,,,,6419000000.0,,,,0.0,,,0.29825295046928724,1.3674904132935664,0.6538657430987064,0.6538657430987064,,,2.556685940130279,0.718839386768186,1.3674904132935664,1.2445085286538227,-77.24242424242425,5.499719887955182,,0.45434173669467787,0.0,0.060728556825573834,0.07002778063586788,,,,0.0,,0.039461869523485155,0.01974907063197026,,7970000000,20520000000,-29298000000,,8675000000,13537000000,2450500000,160.77502090883746,590.4427425237053,87.37636761487964,2.270253164556962,0.6181801785553251,4.177330895795246,0.06532240357168996,
2003-12-31,IBM,,,,,,,,,,,6002000000.0,,,,0.0,,,0.08877516307000548,0.8723837209302325,1.263047138047138,1.263047138047138,,,2.7488156761412577,0.7332490881415319,0.8723837209302325,1.1872823218997361,-74.33035714285714,0.8195929630907209,,0.04725767506036564,0.0,0.05576180686003343,0.06947356328441369,,,,0.0,,0.12508075784665776,0.059650205761316875,,7098000000,20607000000,-31595000000,,8948000000,6678000000,2280500000,54.12726116345457,72.82267764073298,25.324387425418013,6.7433672451625775,5.012174940898345,14.412984364377975,0.2080821131208728,
2004-03-31,IBM,2.2222222222222223,0.16,0.36564294631710365,0.36564294631710365,0.7440699126092385,2.8149812734082396,9.452584269662921,2.8149812734082396,1.508214731585518,882802125000,890488125000.0,551.0625,39.6765,241.1368819994537,241.1368819994537,31.321700372538587,31.321700372538587,40.02193820224719,342.3637543252595,243.23630838568698,243.23630838568698,0.0018146761937166836,0.004147022188012971,2.612737271598368,0.7232015713233488,2.9550173010380623,1.204436908294475,-65.42857142857143,2.2852684144818975,0.0003069770589870295,0.16916354556803995,0.0,0.06143820224719101,0.07052295605205008,,,,0.0,3.1833838260991496,0.034467188440698376,0.01692658805629517,-5.634931335830212,7234000000,21004000000,-31021000000,,8731500000,13820500000,2334000000,157.36831460674156,582.9594129625729,78.14654869742294,2.319399562180757,0.6261156298087491,4.670711708756969,0.05683874401277275,0.0
2004-06-30,IBM,2.312409488139825,0.19885143570536828,0.3814232209737828,0.3814232209737828,0.7705368289637953,2.8794007490636706,9.167740324594257,2.8794007490636706,1.4958302122347067,871788374999.9999,879083374999.9999,437.8645781014565,37.653365654558804,228.27661036920657,228.27661036920657,30.238930801248696,30.238930801248696,37.96844361421846,299.82379774897674,230.1867962817491,230.1867962817491,0.002283811137077849,0.004380650292566703,2.4541103017689907,0.7104898475628125,2.48806275579809,1.2052565707133918,-86.15151515151516,1.9181315921647413,0.0003475614136286229,0.15218483174284278,0.0,0.0615902906750745,0.07822698881323933,,,,0.0,3.5892745633002963,0.04358758144883097,0.02169034338504445,-5.372784019975032,7052000000,21040000000,-29343000000,,8717000000,13716500000,2400500000,150.77354986394852,562.3465272080941,79.39773038009298,2.420849017147637,0.6490659803878067,4.59710873664362,0.06906000693721817,0.0
2004-09-30,IBM,,,,,,,,,,,7676000000.0,,,,0.0,,,0.32762815314354005,2.7601582164688963,1.9803921568627452,1.9803921568627452,,,2.3895360581779004,0.7049743732369185,2.7601582164688963,1.206528848067791,-79.09375,2.1533333333333333,,0.16666666666666666,0.0,0.060565965256733106,0.07930390559815646,,,,0.0,,0.038635912622693065,0.01941915159884348,,7263000000,21718000000,-28544000000,,8699000000,13670500000,2475000000,148.43655298988432,554.1787864438883,82.24413177298248,2.458963056255248,0.6586322120739586,4.4380066046232365,0.06060197966466905,
2005-03-31,IBM,,,,,,,,,,,4021000000.0,,,,0.0,,,0.1755281997555439,1.6486264862648627,1.9331730769230768,1.9331730769230768,,,2.5059826203208555,0.7147732580863497,1.6486264862648627,1.222370054993791,-12.306122448979592,,,,0.0,0.06368954077178278,0.09849474256189286,,,,0.012484721494674349,,0.008483757052210982,0.0,,7521000000,19588000000,-33636000000,,8789000000,14275500000,2518000000,154.6804609743321,589.1957827214412,85.11020881670534,2.3597033374536465,0.6194884802367364,4.288557213930348,0.0,
2005-06-30,IBM,,,,,,,,,,,3620000000.0,,,,0.0,,,0.162550516389762,1.235494880546075,1.1554420683051387,1.1554420683051387,,,2.431966804979253,0.7086218903547801,1.235494880546075,1.2581917569959935,-61.791044776119406,0.9616329036218539,,0.09852670349907919,0.0,0.06632240682532554,0.1060664680620575,,,,0.011629995509654243,,0.05815341826916324,0.03525134708186362,,8313000000,19159000000,-32753000000,,8587000000,13564500000,2433500000,152.49034575662324,601.3371619118192,87.84883290107447,2.3935941530524505,0.606980614402015,4.154864532019705,0.10814937759336099,
2005-09-30,IBM,,,,,,,,,,,-152000000.0,,,,0.0,,,-0.007060244321612708,-0.061068702290076333,-0.035505722961924786,-0.035505722961924786,,,2.340797089465851,0.7006702373055866,-0.061068702290076333,1.3063342677880123,-52.05357142857143,2.823878627968338,,0.2104221635883905,0.0,0.06721166798272098,0.1095050936055203,,,,0.011658692925820986,,0.04103033288760645,0.016854182416507317,,9179000000,19174000000,-31631000000,,8597000000,,2454500000,158.07794138139252,0.0,93.88241732468141,2.308987558987559,,3.887841945288754,0.05014056556970398,
2005-12-31,IBM,,,,,,,,,,,1864000000.0,,,,0.0,,,0.07630900233348344,0.4352089656782629,0.34391143911439115,0.34391143911439115,,,2.1949966765363467,0.6870106290426297,0.4352089656782629,1.2989588074647247,-95.16666666666667,1.7151898734177216,,0.1,0.0,0.05972898841445941,0.10500434996406552,,,,0.010111761575306013,,0.06470621564961188,0.033388276066100335,,10509000000,21994000000,-26989000000,,8705000000,6122500000,2230000000,142.55127522823105,196.33911579563753,75.9014053579271,2.560482180293501,1.8590284392434344,4.808870116156283,0.0954740467701976,
2006-03-31,IBM,,,,,,,,,,,5185000000.0,,,,0.0,,,0.25098020233312357,1.9558657110524331,1.667202572347267,1.667202572347267,,,2.130610124957991,0.680573447320139,1.9558657110524331,1.2499398821690513,-36.96969696969697,1.8208430913348945,,0.1832552693208431,0.0,0.07047775787792246,0.11550923215052504,,,,0.00968101069751682,,0.03526011560693642,0.01884544090387501,,8315000000,20895000000,-28154000000,,8343000000,13554500000,2286000000,155.75971731448763,644.9562485084718,85.74059342932145,2.343352994555354,0.5659298608922703,4.25702675245513,0.052182945831169225,
