date,symbol,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2002-08-31,PAYX,672.0884148368821,201.9922597119336,307.90919125959226,248.07490258142596,376.6993390166376,2585.7802130574137,8140.365203282307,2585.7802130574137,0.0,9124427.85,-132497572.15,0.12015311890966553,0.03611132027307806,0.07882194065307532,0.0978333549563073,0.009385948534002923,0.009385948534002923,-0.5243794287127733,-1.2025228224862274,-1.1445885638389772,-1.4206569683160886,8.322713626367268,10.221462817528883,2.1571033712326555,0.6832539570569838,-1.2853343982284018,1.394631580055125,,1.5243613378983407,4.519406660659824,0.5430208058993943,0.0,0.0,0.0028431445060940583,5.146032451655923,11.232496110246721,0.342565014447655,0.0,3428.107457178395,0.11328459097806594,0.02481366064884749,-4977.311779335293,824986000,963411000,818508000,,288538500,45628000,,162.04454338577222,,,2.252467083270189,0.0,,0.07811656176032802,59.83428867816627
2002-11-30,PAYX,714.7810641132345,198.5034661192494,156.84355796409702,117.17530559551571,261.9625653802893,2660.3256317324744,7995.841188718028,2660.3256317324744,0.0,10462239.58,-88053760.42,0.14014868628685484,0.03892100867908946,0.17737419605316695,0.23742203921390642,0.01045736644723559,0.01045736644723559,-0.3275724234115927,-0.6791337108965262,-1.4928414556489895,-1.9982244909907867,7.135279155975895,4.211908899910702,2.3154729895868527,0.6983839098853247,-0.7598260011106313,1.2353451278832235,,0.7901300719347363,3.955462851291349,0.5543529222649395,0.0,0.0,0.09346648103808904,3.953881217321357,18.018970371363455,0.7156455288912723,0.0,3447.011288835229,0.10930206586290767,0.024825839012327287,-5653.604125838609,542515000,690436000,531152000,,293710500,47661500,,166.3653290278899,,,2.1939667485573904,0.0,,0.07461622883736178,39.6682523685813
2003-02-28,PAYX,765.0686806978927,190.1340117662384,360.10112691108327,330.5472922498611,450.87874606883753,2773.575676372617,8946.711647406297,2773.575676372617,0.0,10378281.99,-159224718.01,0.1451081778778261,0.03606212186706233,0.07661736645109851,0.0834676327620457,0.009947448066779704,0.009947448066779704,-0.5532689505505769,-1.7080715091344039,-1.1754718728590834,-1.2805693950409767,6.891410357601972,11.980691998907615,2.5226063944499773,0.716119291222674,-1.8194037696177818,1.2236669511573424,,1.893933250374016,3.9891959035119644,0.5788649487563093,0.0,0.0,0.08428716572330996,12.184582171449131,25.887289736439687,1.0421876405505082,0.0,3444.6188586597846,0.09955805194522456,0.021251831875162684,-6348.69311278947,585720000,733541000,572572000,,281869500,48963500,,125.35654594164474,,,2.9116947763534635,0.0,,0.06855194663911336,29.55383466122219
2003-05-31,PAYX,672.0884148368821,201.9922597119336,168.92447234376453,137.85160458033542,212.44829833357716,2865.691372637683,8508.300195502121,2865.691372637683,0.0,11049317.450000001,-68821682.55,0.14550062483539639,0.0437293655882062,0.17398308008439883,0.21320027495851504,0.010255814802885914,0.010255814802885914,-0.2723723460967646,-0.5938688770095006,-1.0836694991182212,-1.3279373779570098,6.872822719017815,4.690425470579632,2.4257307835462436,0.7080914808592106,-0.6892144934289437,1.1720242316499359,,0.8362918093231498,3.7492813639814466,0.5455227811430077,0.0,0.0,0.13331723918745697,5.436397877075843,21.629429892141758,1.147919876733436,0.0,3608.8873922459484,0.10048601505722143,0.023740612704135192,-6502.525568219601,445117000,585326000,419230000,,291706000,49256500,,171.19572573463935,,,2.132062575941677,0.0,,0.07048639697931353,31.072867763429134
2003-08-31,PAYX,820.6567313101721,213.2041524695093,298.3419843114777,269.92113280047556,349.80468957318305,2943.527157702555,8289.085968431891,2943.527157702555,0.0,12850107.6,-118968892.4,0.1599405996788768,0.04155208712607477,0.11429836158895629,0.1263331983168823,0.011584741085458612,0.011584741085458612,-0.38469761780807304,-0.9238006274168751,-1.058197324462313,-1.1696182744111054,6.252321186789128,7.9155757419494295,2.256624658433305,0.6929336030756829,-1.0235824882359337,1.1940770303490706,,1.39932539238017,3.225965205147387,0.5159628094544639,0.0,0.0,0.13528918683090388,10.497292250233427,28.87516339869281,1.2795518207282912,0.0,3757.708715547485,0.104754512003112,0.025721069039635346,-6037.542193421011,480552000,620517000,453532000,,296534500,48703500,,151.27318085839102,,,2.412853342071796,0.0,,0.07243152213207937,28.420851511002134
2003-11-30,PAYX,827.7346360714172,213.9863997538801,187.26859955655985,138.0419676861547,356.01985932974765,3062.1771002408154,8418.106786331859,3062.1771002408154,0.0,13898136.72,-120339863.28,0.17225393783154033,0.04453117991406573,0.19682958107916723,0.267020244769352,0.012037187528148276,0.012037187528148276,-0.3855823417569425,-0.9353614544210919,-1.7042892406174763,-2.3120494779918923,5.80538252180901,3.745034391919552,2.1703689589468214,0.6845792988295614,-1.0433870165402312,1.210269924674249,,0.8751425313568986,3.2584223995171633,0.5612760894353279,0.0,0.0,0.13288975191421518,3.804213135068154,16.8147729109423,0.7457033565001886,0.0,3839.719481226388,0.10134048801269989,0.025419777294975777,-5994.13343517605,520945000,668156000,492543000,,306830000,49393500,,173.9749246232766,,,2.0980034955633236,0.0,,0.0698804780876494,49.22663187040514
2004-02-29,PAYX,908.2295930269548,213.44877314274808,376.14255720738873,349.7444489215957,553.0427544376815,3169.236315822959,10053.27868852459,3169.236315822959,0.0,13561202.8,-195059797.2,0.16842448645023475,0.039582502349637776,0.09557546550144479,0.10278933693114635,0.011343426749376,0.011343426749376,-0.5693414511129402,-1.494608013240466,-1.3747254718443864,-1.4784873813782857,5.937378946947095,9.728635575009614,2.5759256285173215,0.720352125887297,-1.598518109862155,1.1847625124971009,,1.7622146600760078,3.341738979082298,0.5628306714026677,0.0,0.0,0.11291625712094935,14.248845149628439,34.40510142598915,1.4095199839325165,0.0,3901.3543900505506,0.09787590174368473,0.021231757295895038,-7380.586866159099,564026000,712788000,537184000,,290313000,48400000,,123.29028096413957,,,2.9604928883742634,0.0,,0.06735022316798159,26.398108285793057
2004-05-31,PAYX,820.6567313101721,213.2041524695093,172.91341591567684,142.8393253298517,582.4602744960672,10482.552091626065,9181.71299981955,10482.552091626065,0.0,12767203.680000002,-206724796.32,0.1589087248422389,0.041284009144616225,0.19593621362799266,0.23718958292306838,0.0032320373611178974,0.0032320373611178974,-0.6684649666130967,-1.5983793613434982,-3.172572073664825,-3.8405409240715627,6.292920675015032,4.216036757079448,0.6962249788175443,0.6962249788175443,-1.697094344874511,1.2052034918217145,,0.8110227400022404,3.5520699079189435,0.5644548996178883,0.0,0.0,0.12409564774266031,5.749580870025589,27.287831995058678,1.2579193505691344,0.0,7091.246842007679,0.09690385085076936,0.023220520231213872,-6445.549257501937,558544000,709770000,530217000,,300332000,49444500,,160.23728144916944,,,2.2778718953478094,0.0,,0.02033895473219984,30.074090585825132
2004-08-31,PAYX,912.3740105314105,232.00046547670368,331.6336380971524,303.4008891662942,563.684353899822,3320.150116236938,9129.928829669909,3320.150116236938,0.0,11399926.049999999,-201733073.95,0.12995663581126526,0.03304565852598014,0.09091357611668911,0.09937347277672204,0.009080914700981064,0.009080914700981064,-0.5847759227480251,-1.412212013734783,-1.6088065039515762,-1.7585128223121043,7.69487447683926,10.063047733542097,2.137520193217628,0.6812769517271321,-1.49201604491456,1.234500843349086,,1.4294524686221088,3.9807275767372197,0.5173219639538993,0.0,0.0,0.12355807863144572,11.746416861826697,32.31615925058548,1.328430913348946,0.0,4163.077993436921,0.10165029262104294,0.025410982911801258,-6204.387911358425,621601000,768707000,588959000,,315335000,50441500,,175.3925646785999,,,2.081046027628642,0.0,,0.0698764987589336,28.232748930858197
2004-11-30,PAYX,918.2939566614223,229.6891732882055,-331.56523923476607,-374.6684823565186,613.2104657773313,3410.3282784880416,9391.39838967701,3410.3282784880416,0.0,12752398.2,-219154601.8,0.14680709376618892,0.036720267791583286,-0.10169944255261457,-0.08999956384885739,0.009887611175939243,0.009887611175939243,-0.6310511591344286,-1.549354196919031,1.7477419138229409,1.5466752424238148,6.811659943303841,-11.11116495719213,2.128624872551338,0.6803707568863896,-1.639509646586402,1.2447458145469494,,-1.443538824612905,3.8566079280679926,0.5661774017153054,0.0,0.0,0.11980158097810288,-7.692350162566714,21.30452119501871,0.8926446230292621,0.0,4198.166071734706,0.09765049514794183,0.02445739854255134,-6283.716963919775,662628000,806324000,624679000,,323815000,50869000,,192.05105316958694,,,1.9005363104033273,0.0,,0.06735104498210873,43.103243121752584
