date,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio
2009,6.777718307717309,6.777718307717309,4.365354330708661,17.04247422680412,11.703885186392295,14.554442132223468,13.2,13.2,6.585546429293056,4.365354330708661,0.0492402245451026,9.59949994431451,6.777718307717309,0.6569388006403152,1.0,0.38990781640099864,0.6732763587478394,0.38659496831188783,0.38990781640099864,0.2561455732667563,0.34306119935968477,0.10404853127745657,0.3976956759633777,0.5696860518462711,0.6569388006403152,1.0,0.38990781640099864,18.22735308298066,0.0,7.5867846865552035,0.40620858658797854,0.23976624932163085,0.1811065311720247,0.12771006617425193,31.186225273670058,0.0,31.186225273670058,20.024849375459223,11.161375898210835,0.7383714795857171,2.8222132602994607,0,0,,,3.8222132602994607,1.9090909090909092,1.731430155210643,1.3649639689578714,0.8391752577319588,0.33070866141732286,0.9069396051103368,,,-10.745709828393135,1.7956204379562044,0.8391752577319588
2010,7.2804,11.1092,5.0976,21.3788,10.9766,18.5566,16.6955,0,0,0,,0.348492277519,0,0.65405183052242,1,0.36450419832067,0.67333066773291,1,0.36225509796082,0.23840463814474,0.34594816947758,0.6951,0.3402,0.4054,0.65405183052242,1,0.36450419832067,13.2969,0.0,7.4296323802451,0.38283297935442,1.111,0.1478809256587,0.075971353749132,0.0,34.0409,,6.8045,,0.0,0.0,0,0,,,3.7277460770328,1.6904,1.5208,0.7867,0.939,0.30532786885246,0.8996562448846,,,9.9657422512235,1.1980780545205,0.94046121593291
2011,7.817,12.9193,5.6075,22.7465,11.9891,19.008,16.3396,0,0,0,,0.13508911340674,0,0.6504670537743,1,0.38007964304563,0.68742503478386,1,0.37729693422252,0.24722928561148,0.3495329462257,0.6621,0.3444,0.4306,0.6504670537743,1,0.38007964304563,12.6409,0.0,6.7518626498218,0.38642515480737,1.124,0.16500805110472,0.031412506929229,0.0,28.2116,,7.9504,,0.0,0.0,0,0,,,3.6049993316402,1.9771,1.521,0.3289,0.873,0.34318476227031,0.85949951069481,,,7.1174129353234,1.3022028035682,0.87094896176984
2012,6.7692,10.5315,4.8728,19.8477,14.6939,17.6031,15.3771,0,0,0,,0.11355808370734,0,0.63698709752412,1,0.38581935599605,0.69947977397076,1,0.38294914342093,0.24576195174455,0.36301290247588,0.8373,0.3415,0.3765,0.63698709752412,1,0.38581935599605,9.583,0.0,6.8757323465927,0.34412618062843,1.07,0.096655920096087,0.022926017236656,0.0,23.3097,,11.4093,,0.0,0.0,0,0,,,4.0383920224369,1.9498,1.699,0.3002,0.841,0.31688940712171,0.8731955844891,,,7.8861607142857,1.284493728413,0.84032846715328
2013,7.48849185318825,7.48849185318825,5.70988651018829,23.343300527240775,17.43778110944528,23.035619146722166,19.668796090626387,19.668796090626387,9.095311911545672,5.70988651018829,0.0358897657927392,13.951561047739755,7.48849185318825,0.6243142418257626,1.007294429708223,0.38896053649729173,0.7114177628750752,0.38896053649729173,0.3917977817900439,0.2446049350872668,0.37568575817423744,0.09231468111686163,0.3207983311721261,0.477341070957531,0.6243142418257626,1.007294429708223,0.38896053649729173,15.721311475409836,0.0,6.723121387283237,0.3774031831529763,1.1322337285038189,0.14968839323368163,0.02513940302703716,20.931562204453616,0.0,20.931562204453616,23.216892596454638,-2.285330392001022,0.7122345344517093,2.4750521508710603,0,0,,,3.4750521508710603,1.8562396921385376,1.5849367784496977,1.3894997251236942,0.8377855887521969,0.2903017797265927,0.8538427365615282,,19.68804664723032,6.8419452887537995,1.1736183524504693,0.8377855887521969
2014,8.524828362408554,8.524828362408554,6.01398229385843,24.141227091633468,16.860107095046853,19.011822289156626,17.196753320467703,17.196753320467703,9.424308958873727,6.01398229385843,0.033706040550228335,14.776803617063102,8.524828362408554,0.6350571804473232,1.0054950646178895,0.3901306125689785,0.7091984596450832,0.3901306125689785,0.39227440549446185,0.2491166779149629,0.3649428195526769,0.09850708780081946,0.3531232414181204,0.5088545981772991,0.6350571804473232,1.0054950646178895,0.3901306125689785,15.010245901639344,0.0,7.3609000584453534,0.39542550352427747,1.128973394309401,0.1578318952893735,0.03435535830949109,21.648735559172653,0.0,21.648735559172653,24.316723549488056,-2.667987990315403,0.7210404860206276,2.584749577940349,0,0,,,3.584749577940349,2.416735253772291,2.186008230452675,1.5122085048010974,0.8137051792828686,0.3497161459367184,0.9045294585083438,,23.304232804232804,10.474435196195007,1.481251050950059,0.8137051792828686
2015,9.528284514141697,9.528284514141697,6.209940137246313,25.207811527633726,15.513023782559456,21.469904088844018,19.004414655942806,19.004414655942806,9.797488276082552,6.209940137246313,0.03243449384320655,15.584457564575645,9.528284514141697,0.6366981132075472,1.006074411541382,0.3845816907577749,0.7050664330559205,0.3845816907577749,0.3869177982187181,0.24634983209227623,0.36330188679245284,0.10411106826070189,0.3779893587230468,0.5517674783974863,0.6366981132075472,1.006074411541382,0.3845816907577749,15.62862669245648,0.0,7.741169821983611,0.4226147319706903,1.1159413951454187,0.15595888913186093,0.03717472118959108,23.528617316396556,0.0,23.528617316396556,23.354579207920793,0.17403810847576295,0.7245661396066333,2.6306356762811536,0,0,,,3.6306356762811536,2.4667952604023147,2.1835216313033894,1.4786442546155967,0.8176026077937473,0.32676303109943056,0.8851653261840929,,17.62204724409449,8.70817120622568,1.3675527039413382,0.8176026077937472
2016,11.226473819113878,11.226473819113878,7.270452928622244,28.35841701902748,7.224424865394028,23.315209125475285,21.078029856609703,21.078029856609703,10.955211544139674,7.270452928622244,0.02825970976136504,18.05223440134907,11.226473819113878,0.6574580835722352,1.0039246467817897,0.38842779226938584,0.7096446356583895,0.38842779226938584,0.3899522341542735,0.25637724855178023,0.34254191642776477,0.11750093156129673,0.3958780143327928,0.5526049448166177,0.6574580835722352,1.0039246467817897,0.38842779226938584,15.116402116402117,0.0,8.362322946175638,0.4583126319711837,1.113997113997114,0.17423669804622186,0.030119792024553928,50.523052948948134,0.0,50.523052948948134,24.145957297864893,26.37709565108324,0.7031890448391505,2.369147878851284,0,0,1042.3636363636363,,3.369147878851284,2.822844469087885,2.5519822567230386,0.976157471583033,0.8014006342494715,0.3449303838205901,0.9040463563150658,,12.759398496240602,10.421699078812692,1.4458960522578812,0.8014006342494714
2017,10.477682197105302,10.477682197105302,6.501130327166566,25.066697663036827,6.2094581280788175,23.654326290266713,21.331749271137028,21.331749271137028,9.659417178066455,6.501130327166566,0.0323277987048575,15.760673879443585,10.477682197105302,0.6565713367609255,1.0041949015811553,0.39336146986957765,0.708183924094818,0.39336146986957765,0.39501158252149904,0.2593532827721893,0.34342866323907456,0.11959846057040842,0.4179921239707462,0.5878782130323438,0.6565713367609255,1.0041949015811553,0.39336146986957765,16.076923076923077,0.0,9.345492289442467,0.4611411095014414,1.1157435821464097,0.17584813019830267,0.0390679562337305,58.78129660774918,0.0,58.78129660774918,22.70334928229665,36.07794732545253,0.7138738896937238,2.4949624098603795,0,0,495.84,,3.4949624098603795,2.669260700389105,2.4071706503613117,0.8988326848249028,0.8103511562461765,0.30476311363564246,0.9018117451062058,,10.450489662676823,10.184517497348887,1.2693629394660322,0.8103511562461764
2018,12.1203507038775,12.1203507038775,7.257727232393741,26.280014994109454,6.362250658637561,21.861769422665713,19.224106863052334,19.224106863052334,10.104450447558417,7.257727232393741,0.030145511081949575,17.87541357253143,12.1203507038775,0.7203919450659672,1.0066796116504855,0.3808157591173948,0.69895589931675,0.3808157591173948,0.3833594604986838,0.2761690674080866,0.27960805493403285,0.12509881158138725,0.46120029636947396,0.5915460601883759,0.7203919450659672,1.0066796116504855,0.3808157591173948,13.661744966442953,0.0,8.591867852604828,0.4529790854401972,1.0940384324406114,0.1807383870479649,0.06774852473899229,57.369635304208934,0.0,57.369635304208934,26.716938494792693,30.65269680941624,0.7287538352291759,2.686688071128674,0,0,330.12820512820514,,3.686688071128674,3.5554317548746517,3.1264623955431756,1.181615598885794,0.7922244832387276,0.3775326096601497,0.8793481667188969,,9.604213694507148,8.288311688311689,1.4282197605460445,0.7922244832387275
